temp,satPressure,densityL,DensityV,enthalpyOfV,specHeatL,specHeatV,therCondL,therCondV,dynamicViscL,dynamicViscV,PrandtlL,PrandtlV,VEC
0.01,0.6113,999.8,0.0048,2501,4217,1854,0.561,0.0171,0.001792,0.00000922,13.5,1,0.020068
5,0.8721,999.9,0.0068,2490,4205,1857,0.571,0.0173,0.001519,0.00000934,11.2,1,0.000015
10,1.2276,999.7,0.0094,2478,4194,1862,0.58,0.0176,0.001307,0.00000946,9.45,1,0.000733
15,1.7051,999.1,0.0128,2466,4185,1863,0.589,0.0179,0.001138,0.00000959,8.09,1,0.000138
20,2.339,998,0.0173,2454,4182,1867,0.598,0.0182,0.001002,0.00000973,7.01,1,0.000195
25,3.169,997,0.0231,2442,4180,1870,0.607,0.0186,0.000891,0.00000987,6.14,1,0.000247
30,4.246,996,0.0304,2431,4178,1875,0.615,0.0189,0.000798,0.00001001,5.42,1,0.000294
35,5.628,994,0.0397,2419,4178,1880,0.623,0.0192,0.00072,0.00001016,4.83,1,0.000337
40,7.384,992.1,0.0512,2407,4179,1885,0.631,0.0196,0.000653,0.00001031,4.32,1,0.000377
45,9.593,990.1,0.0655,2395,4180,1892,0.637,0.02,0.000596,0.00001046,3.91,1,0.000415
50,12.35,988.1,0.0831,2383,4181,1900,0.644,0.0204,0.000547,0.00001062,3.55,1,0.000451
55,15.76,985.2,0.1045,2371,4183,1908,0.649,0.0208,0.000504,0.00001077,3.25,1,0.000484
60,19.94,983.3,0.1304,2359,4185,1916,0.654,0.0212,0.000467,0.00001093,2.99,1,0.000517
65,25.03,980.4,0.1614,2346,4187,1926,0.659,0.0216,0.000433,0.0000111,2.75,1,0.000548
70,31.19,977.5,0.1983,2334,4190,1936,0.663,0.0221,0.000404,0.00001126,2.55,1,0.000578
75,38.58,974.7,0.2421,2321,4193,1948,0.667,0.0225,0.000378,0.00001142,2.38,1,0.000607
80,47.39,971.8,0.2935,2309,4197,1962,0.67,0.023,0.000355,0.00001159,2.22,1,0.000653
85,57.83,968.1,0.3536,2296,4201,1977,0.673,0.0235,0.000333,0.00001176,2.08,1,0.00067
90,70.14,965.3,0.4235,2283,4206,1993,0.675,0.024,0.000315,0.00001193,1.96,1,0.000702
95,84.55,961.5,0.5045,2270,4212,2010,0.677,0.0246,0.000297,0.0000121,1.85,1,0.000716
100,101.33,957.9,0.5978,2257,4217,2029,0.679,0.0251,0.000282,0.00001227,1.75,1,0.00075
110,143.27,950.6,0.8263,2230,4229,2071,0.682,0.0262,0.000255,0.00001261,1.58,1,0.000798
120,198.53,943.4,1.121,2203,4244,2120,0.683,0.0275,0.000232,0.00001296,1.44,1,0.000858
130,270.1,934.6,1.496,2174,4263,2177,0.684,0.0288,0.000213,0.0000133,1.33,1.01,0.000913
140,361.3,921.7,1.965,2145,4286,2244,0.683,0.0301,0.000197,0.00001365,1.24,1.02,0.00097
150,475.8,916.6,2.546,2114,4311,2314,0.682,0.0316,0.000183,0.00001399,1.16,1.02,0.001025
160,617.8,907.4,3.256,2083,4340,2420,0.68,0.0331,0.00017,0.00001434,1.09,1.05,0.001145
170,791.7,897.7,4.119,2050,4370,2490,0.677,0.0347,0.00016,0.00001468,1.03,1.05,0.001178
180,"1,002.10",887.3,5.153,2015,4410,2590,0.673,0.0364,0.00015,0.00001502,0.983,1.07,0.00121
190,"1,254.40",876.4,6.388,1979,4460,2710,0.669,0.0382,0.000142,0.00001537,0.947,1.09,0.00128
200,"1,553.80",864.3,7.852,1941,4500,2840,0.663,0.0401,0.000134,0.00001571,0.91,1.11,0.00135
220,"2,318",840.3,11.6,1859,4610,3110,0.65,0.0442,0.000122,0.00001641,0.865,1.15,0.00152
240,"3,344",813.7,16.73,1767,4760,3520,0.632,0.0487,0.000111,0.00001712,0.836,1.24,0.00172
260,"4,688",783.7,23.69,1663,4970,4070,0.609,0.054,0.000102,0.00001788,0.832,1.35,0.002
280,"6,412",750.8,33.15,1544,5280,4835,0.581,0.0605,0.000094,0.0000187,0.854,1.49,0.00238
300,"8,581",713.8,46.15,1405,5750,5980,0.548,0.0695,0.000086,0.00001965,0.902,1.69,0.00295
320,"11,274",667.1,64.57,1239,6540,7900,0.509,0.0836,0.000078,0.00002084,1,1.97,
340,"14,586",610.5,92.62,1028,8240,"11,870",0.469,0.11,0.00007,0.00002255,1.23,2.43,
360,"18,651",528.3,144,720,"14,690","25,800",0.427,0.178,0.00006,0.00002571,2.06,3.73,
374.14,"22,090",317,317,0,,,,,0.000043,0.00004313,,,
